Concurso	Data do Sorteio	Coluna1	Coluna2	Coluna3	Coluna4	Coluna5	Coluna6
137	17/10/98	15	16	19	22	26	49
138	24/10/98	5	14	27	37	40	41
139	31/10/98	3	13	26	27	41	42
140	07/11/98	7	31	41	44	46	55
141	14/11/98	10	13	22	41	42	58
142	21/11/98	8	15	19	20	54	59
143	28/11/98	6	18	20	40	50	53
144	05/12/98	8	32	36	44	45	55
145	12/12/98	15	16	31	41	43	51
146	19/12/98	25	32	34	42	51	60
147	24/12/98	6	16	23	24	28	38
148	31/12/98	32	35	41	55	58	59
149	09/01/99	7	11	20	28	45	48
150	16/01/99	12	44	50	52	54	55
151	23/01/99	3	16	20	43	52	56
152	30/01/99	5	12	15	29	51	58
153	06/02/99	2	30	31	42	45	47
154	13/02/99	8	10	24	33	45	48
155	20/02/99	12	30	32	35	43	44
156	27/02/99	17	23	42	49	52	55
157	06/03/99	4	13	17	21	41	44
158	13/03/99	4	14	17	43	51	58
159	20/03/99	9	11	16	35	50	58
160	27/03/99	2	13	42	52	54	58
161	03/04/99	6	25	30	37	39	41
162	10/04/99	21	23	33	38	48	51
163	17/04/99	8	27	36	41	53	56
164	24/04/99	4	10	14	19	28	44
165	01/05/99	10	19	23	35	39	56
166	08/05/99	12	13	22	57	59	60
167	15/05/99	1	11	28	33	38	48
168	22/05/99	2	9	31	35	45	50
169	29/05/99	1	13	21	37	51	52
170	05/06/99	7	41	46	51	55	58
171	12/06/99	4	27	40	43	46	54
172	19/06/99	10	14	26	35	36	49
173	26/06/99	17	28	29	42	49	50
174	03/07/99	11	22	23	36	52	59
175	10/07/99	1	10	13	20	42	50
176	17/07/99	1	3	4	28	45	53
177	24/07/99	22	35	38	39	41	59
178	31/07/99	5	15	19	26	27	33
179	07/08/99	5	6	23	26	27	53
180	14/08/99	6	23	29	39	51	60
181	21/08/99	1	27	33	35	51	55
182	28/08/99	3	5	10	28	46	60
183	04/09/99	2	7	11	16	40	44
184	11/09/99	9	16	21	34	41	60
185	18/09/99	17	22	43	46	55	59
186	25/09/99	14	23	24	25	26	51
187	02/10/99	6	36	41	44	48	58
188	10/10/99	17	27	34	42	43	46
189	16/10/99	4	15	31	38	41	53
190	24/10/99	5	10	21	32	40	42
191	31/10/99	1	3	5	23	41	58
192	06/11/99	1	26	28	41	54	60
193	13/11/99	4	11	12	19	43	49
194	20/11/99	25	28	32	33	42	43
195	27/11/99	3	9	17	32	37	44
196	04/12/99	7	9	14	17	24	32
197	11/12/99	5	12	15	19	29	52
198	18/12/99	1	8	18	23	35	40
199	24/12/99	10	16	37	50	52	57
200	31/12/99	12	15	19	34	44	51
201	08/01/00	5	20	22	30	35	55
202	15/01/00	12	24	44	45	49	53
203	22/01/00	11	19	29	44	47	55
204	29/01/00	29	31	39	41	51	58
205	05/02/00	26	32	40	43	46	54
206	12/02/00	18	20	26	34	51	56
207	19/02/00	3	7	19	24	53	55
208	26/02/00	15	23	24	25	47	57
209	04/03/00	13	21	26	32	41	52
210	11/03/00	20	32	37	38	48	58
211	18/03/00	10	20	33	40	45	50
212	25/03/00	6	15	29	45	57	59
213	01/04/00	3	9	23	30	32	35
214	08/04/00	6	12	30	31	35	50
215	15/04/00	7	28	37	46	53	58
216	22/04/00	14	18	30	35	42	59
217	29/04/00	3	27	32	45	49	51
218	06/05/00	12	17	40	42	47	54
219	13/05/00	23	26	28	36	42	49
220	20/05/00	13	14	36	53	55	60
221	27/05/00	13	27	43	50	54	58
222	03/06/00	5	19	30	48	52	55
223	10/06/00	2	6	22	24	28	58
224	17/06/00	7	16	18	20	21	44
225	24/06/00	2	4	16	21	37	58
226	01/07/00	1	2	38	49	50	59
227	08/07/00	11	26	27	37	42	48
228	15/07/00	13	16	40	43	45	59
229	22/07/00	11	13	21	33	39	45
230	29/07/00	8	40	41	44	53	56
231	05/08/00	16	27	36	42	44	59
232	12/08/00	19	22	29	37	41	59
233	19/08/00	3	7	24	32	36	45
234	26/08/00	15	25	41	42	45	54
235	02/09/00	2	22	29	31	41	55
236	09/09/00	10	25	50	52	57	60
237	16/09/00	7	31	36	45	56	57
238	23/09/00	9	13	15	37	41	42
239	30/09/00	6	21	33	44	46	47
240	07/10/00	25	28	38	41	57	59
241	14/10/00	11	31	35	40	56	57
242	21/10/00	4	7	21	22	28	56
243	28/10/00	11	16	20	23	32	47
244	04/11/00	19	24	33	47	50	60
245	11/11/00	8	27	44	51	53	60
246	18/11/00	2	16	32	37	43	57
247	25/11/00	3	10	23	30	34	46
248	02/12/00	16	32	34	35	41	56
249	09/12/00	21	36	40	49	54	55
250	16/12/00	7	25	41	42	43	55
251	23/12/00	15	23	30	34	49	55
252	30/12/00	4	17	26	32	51	54
253	06/01/01	11	12	24	37	44	56
254	13/01/01	1	4	21	22	30	56
255	20/01/01	16	19	20	32	44	55
256	27/01/01	2	21	26	32	34	52
257	03/02/01	1	4	5	19	28	34
258	10/02/01	7	12	50	54	55	60
259	17/02/01	13	15	20	33	43	58
260	24/02/01	4	6	33	43	59	60
261	03/03/01	5	16	20	30	54	56
262	10/03/01	11	20	48	53	58	60
263	17/03/01	8	9	26	43	50	53
264	24/03/01	1	5	13	25	31	33
265	31/03/01	7	16	34	41	50	53
266	07/04/01	2	23	38	46	48	54
267	14/04/01	1	8	45	46	55	58
268	21/04/01	5	6	10	21	33	47
269	28/04/01	17	18	19	25	49	52
270	05/05/01	5	9	27	35	40	45
271	12/05/01	14	24	26	29	31	54
272	19/05/01	9	10	24	36	56	58
273	26/05/01	10	17	23	27	47	52
274	02/06/01	11	13	18	26	39	47
275	09/06/01	16	19	30	37	38	48
276	16/06/01	22	39	45	53	57	59
277	23/06/01	4	26	38	40	52	56
278	30/06/01	10	15	18	22	31	55
279	07/07/01	4	23	31	47	58	59
280	14/07/01	5	16	20	25	30	58
281	21/07/01	5	11	31	38	47	53
282	28/07/01	9	14	23	24	33	36
283	01/08/01	25	28	34	42	48	54
284	04/08/01	7	8	14	30	32	36
285	08/08/01	12	32	37	41	50	56
286	11/08/01	29	35	37	44	47	56
287	15/08/01	3	13	25	33	47	60
288	18/08/01	6	9	11	17	18	50
289	22/08/01	6	7	20	25	30	36
290	25/08/01	7	25	26	30	40	57
291	29/08/01	5	16	17	18	22	41
292	01/09/01	13	23	24	34	45	53
293	05/09/01	5	6	7	12	28	35
294	08/09/01	22	25	28	41	45	57
295	12/09/01	7	12	24	31	44	50
296	15/09/01	3	20	42	46	51	52
297	19/09/01	1	20	28	33	36	41
298	22/09/01	5	22	23	24	34	60
299	26/09/01	2	5	7	33	49	53
300	29/09/01	24	27	28	38	41	57
301	03/10/01	9	26	48	49	57	58
302	06/10/01	12	25	30	40	41	60
303	10/10/01	7	13	17	30	37	47
304	13/10/01	7	11	34	41	42	59
305	17/10/01	5	11	27	38	53	60
306	20/10/01	19	30	41	47	56	57
307	24/10/01	13	16	17	26	41	44
308	27/10/01	4	11	25	29	39	55
309	31/10/01	4	11	25	39	50	55
310	03/11/01	2	14	28	29	31	32
311	07/11/01	22	24	30	32	38	41
312	10/11/01	14	23	30	41	47	50
313	14/11/01	14	16	24	37	38	53
314	17/11/01	5	32	34	37	40	58
315	21/11/01	12	21	22	28	43	50
316	24/11/01	6	24	28	43	51	56
317	28/11/01	16	20	27	30	35	48
318	01/12/01	3	19	20	31	40	53
319	05/12/01	12	16	17	19	23	48
320	08/12/01	20	22	27	47	50	53
321	12/12/01	4	11	31	32	48	49
322	15/12/01	11	18	29	44	47	56
323	19/12/01	26	31	33	40	49	54
324	22/12/01	8	15	22	25	30	47
325	29/12/01	1	3	4	21	23	53
326	05/01/02	21	23	40	44	51	52
327	09/01/02	29	32	33	38	46	48
328	12/01/02	5	7	14	21	23	51
329	16/01/02	10	11	12	24	35	40
330	19/01/02	2	4	14	23	37	51
331	23/01/02	1	13	20	27	35	37
332	26/01/02	23	28	29	34	42	44
333	30/01/02	4	27	35	44	52	53
334	02/02/02	14	23	24	26	41	51
335	06/02/02	7	23	33	43	57	59
336	09/02/02	2	18	22	26	30	54
337	16/02/02	4	14	16	31	52	54
338	20/02/02	1	4	9	36	46	48
339	23/02/02	5	12	13	16	27	50
340	27/02/02	9	10	12	33	42	60
341	02/03/02	5	16	22	23	43	56
342	06/03/02	16	29	34	49	51	54
343	09/03/02	4	6	7	12	24	41
344	13/03/02	10	12	14	33	35	36
345	16/03/02	11	22	46	51	56	58
346	20/03/02	7	12	41	46	56	60
347	23/03/02	1	10	12	26	48	52
348	27/03/02	19	30	33	39	40	52
349	30/03/02	8	9	28	32	38	54
350	03/04/02	10	15	23	30	43	57
351	06/04/02	15	16	24	41	59	60
352	10/04/02	7	20	25	44	47	49
353	13/04/02	19	23	30	46	55	60
354	17/04/02	7	16	38	40	41	52
355	20/04/02	2	14	22	23	37	60
356	24/04/02	5	19	21	54	56	58
357	27/04/02	2	30	32	35	45	53
358	04/05/02	12	17	21	32	40	42
359	08/05/02	13	19	20	29	31	54
360	11/05/02	23	24	29	47	53	55
361	15/05/02	16	28	31	41	45	59
362	18/05/02	7	20	33	37	46	56
363	22/05/02	19	29	39	47	49	54
364	25/05/02	5	29	44	51	57	59
365	29/05/02	19	23	34	37	52	58
366	01/06/02	4	6	7	15	21	51
367	05/06/02	10	12	27	33	49	52
368	08/06/02	13	29	32	38	44	50
369	12/06/02	1	14	21	35	42	60
370	15/06/02	1	4	40	42	51	54
371	19/06/02	4	18	23	33	39	60
372	22/06/02	16	17	24	39	46	57
373	26/06/02	1	5	10	24	31	33
374	29/06/02	2	5	16	26	44	54
375	03/07/02	1	5	9	42	51	58
376	06/07/02	10	13	25	35	43	48
377	10/07/02	3	12	19	27	45	46
378	13/07/02	5	38	41	45	48	55
379	17/07/02	24	33	40	41	55	59
380	20/07/02	13	22	30	31	47	57
381	24/07/02	9	10	28	46	55	56
382	27/07/02	31	34	37	38	53	54
383	31/07/02	14	22	48	50	53	56
384	03/08/02	24	28	40	47	50	52
385	07/08/02	5	12	16	18	22	24
386	10/08/02	17	35	36	39	43	54
387	14/08/02	22	28	29	43	47	48
388	17/08/02	23	36	48	52	53	58
389	21/08/02	5	14	18	43	46	54
390	24/08/02	7	12	22	34	38	53
391	28/08/02	4	7	15	16	35	40
392	31/08/02	15	23	31	39	47	49
393	04/09/02	6	12	35	36	40	50
394	07/09/02	5	15	35	42	45	49
395	11/09/02	10	11	14	20	31	58
396	14/09/02	6	18	34	42	45	47
397	18/09/02	1	2	5	24	32	46
398	21/09/02	7	16	22	28	36	37
399	25/09/02	11	16	27	47	55	59
400	28/09/02	10	13	28	29	54	59
401	02/10/02	11	18	43	44	50	53
402	05/10/02	5	16	27	43	56	58
403	09/10/02	7	16	27	31	46	60
404	12/10/02	1	24	28	38	40	58
405	16/10/02	24	29	34	47	57	60
406	19/10/02	2	12	32	38	47	48
407	23/10/02	2	18	22	49	51	57
408	26/10/02	14	28	33	44	49	56
409	30/10/02	18	25	26	31	34	49
410	02/11/02	8	24	31	36	38	55
411	06/11/02	10	12	31	38	45	56
412	09/11/02	5	12	14	21	45	59
413	13/11/02	2	4	29	33	35	53
414	16/11/02	16	26	35	45	52	58
415	20/11/02	1	4	27	38	42	44
416	23/11/02	1	13	23	33	54	56
417	27/11/02	7	12	21	25	34	42
418	30/11/02	8	15	32	45	49	52
419	04/12/02	9	16	41	42	52	53
420	07/12/02	12	29	30	43	57	59
421	11/12/02	5	35	37	38	45	51
422	14/12/02	12	37	43	55	56	60
423	18/12/02	8	22	32	33	40	53
424	21/12/02	18	27	29	36	46	59
425	28/12/02	6	10	16	34	42	47
426	04/01/03	7	30	32	37	50	54
427	08/01/03	3	13	14	24	43	51
428	11/01/03	8	28	30	32	46	60
429	15/01/03	17	26	32	36	43	55
430	18/01/03	8	10	21	25	38	50
431	22/01/03	26	37	40	47	52	58
432	25/01/03	4	13	17	27	39	50
433	29/01/03	16	17	28	30	36	54
434	01/02/03	4	10	17	24	30	54
435	05/02/03	10	11	17	31	37	43
436	08/02/03	1	6	7	29	48	57
437	12/02/03	7	10	30	44	54	59
438	15/02/03	3	5	11	14	38	48
439	19/02/03	13	20	29	42	43	57
440	22/02/03	3	5	23	30	46	47
441	26/02/03	2	10	15	21	58	59
442	01/03/03	6	15	23	31	37	59
443	08/03/03	11	17	26	36	48	52
444	12/03/03	3	24	33	48	52	57
445	15/03/03	7	20	31	32	50	53
446	19/03/03	8	11	12	17	20	47
447	22/03/03	15	24	25	33	42	55
448	26/03/03	3	5	9	45	51	52
449	29/03/03	1	8	24	34	49	56
450	02/04/03	1	9	13	50	51	59
451	05/04/03	17	18	23	28	31	53
452	09/04/03	11	16	30	36	51	54
453	12/04/03	8	20	23	34	52	58
454	16/04/03	4	17	24	42	46	56
455	19/04/03	2	14	15	17	50	59
456	23/04/03	3	17	22	27	33	40
457	26/04/03	15	17	24	27	32	48
458	30/04/03	13	24	32	34	43	53
459	03/05/03	8	15	17	39	43	49
460	07/05/03	19	23	30	37	49	55
461	10/05/03	15	17	20	29	30	60
462	14/05/03	17	19	22	26	27	48
463	17/05/03	2	3	7	18	45	53
464	21/05/03	6	24	33	38	45	50
465	24/05/03	1	22	31	46	51	57
466	28/05/03	11	16	28	29	30	45
467	31/05/03	8	18	21	22	38	60
468	04/06/03	5	6	23	25	39	51
469	07/06/03	13	21	26	29	42	47
470	11/06/03	8	11	23	37	51	58
471	14/06/03	5	31	32	36	51	59
472	18/06/03	3	4	12	29	38	51
473	21/06/03	7	23	41	49	51	58
474	25/06/03	3	12	32	34	40	50
475	28/06/03	6	8	19	22	43	52
476	02/07/03	17	20	38	43	55	58
477	05/07/03	6	8	18	34	38	47
478	09/07/03	3	8	21	25	30	31
479	12/07/03	20	26	41	46	54	58
480	16/07/03	14	33	36	38	41	49
481	19/07/03	6	13	22	24	42	44
482	23/07/03	12	13	33	53	54	56
483	26/07/03	16	18	23	35	44	59
484	30/07/03	17	18	19	38	49	53
485	02/08/03	19	28	30	38	52	57
486	06/08/03	8	14	19	30	42	50
487	09/08/03	8	22	25	48	52	54
488	13/08/03	15	30	35	39	43	57
489	16/08/03	17	28	33	36	53	59
490	20/08/03	5	11	23	29	54	58
491	23/08/03	1	9	15	22	43	55
492	27/08/03	2	6	15	18	56	57
493	30/08/03	3	18	20	24	42	54
494	03/09/03	18	20	28	32	49	53
495	06/09/03	8	15	29	36	49	60
496	10/09/03	10	19	20	29	41	59
497	13/09/03	9	13	20	32	41	58
498	17/09/03	2	6	28	49	50	57
499	20/09/03	1	4	5	11	44	59
500	27/09/03	21	29	35	36	38	54
501	01/10/03	16	27	28	34	39	56
502	04/10/03	7	13	21	24	33	50
503	08/10/03	7	10	21	27	48	49
504	11/10/03	8	11	19	30	39	50
505	15/10/03	3	20	28	46	47	52
506	18/10/03	4	15	31	34	37	38
507	22/10/03	3	5	27	33	44	58
508	25/10/03	5	10	15	45	46	56
509	29/10/03	28	32	33	34	35	55
510	01/11/03	1	4	30	41	45	58
511	05/11/03	3	4	8	34	36	37
512	08/11/03	4	8	31	40	53	58
513	12/11/03	10	19	27	33	39	46
514	15/11/03	15	36	40	42	51	52
515	19/11/03	15	16	39	45	48	57
516	22/11/03	5	13	24	33	34	35
517	26/11/03	7	8	28	32	38	51
518	29/11/03	5	8	10	15	18	44
519	03/12/03	9	15	19	22	36	42
520	06/12/03	9	12	17	32	34	35
521	10/12/03	15	25	28	32	38	45
522	13/12/03	6	14	15	25	49	52
523	17/12/03	28	39	40	44	45	58
524	20/12/03	19	29	34	41	47	48
525	27/12/03	8	10	24	26	32	49
526	03/01/04	3	21	31	36	55	59
527	07/01/04	6	14	17	26	50	52
528	10/01/04	8	12	28	31	34	37
529	14/01/04	1	13	33	38	45	56
530	17/01/04	1	6	21	25	32	49
531	21/01/04	1	3	7	18	35	50
532	24/01/04	4	9	12	13	52	53
533	28/01/04	13	18	21	27	53	59
534	31/01/04	3	8	23	31	48	57
535	04/02/04	6	14	28	47	49	56
536	07/02/04	14	15	22	23	25	37
537	11/02/04	3	7	19	34	37	39
538	14/02/04	3	25	43	45	52	56
539	18/02/04	6	16	19	47	50	55
540	21/02/04	4	22	28	30	44	49
541	28/02/04	13	27	49	52	57	58
542	03/03/04	4	6	19	28	35	49
543	06/03/04	35	37	42	46	49	54
544	10/03/04	11	17	33	34	47	56
545	13/03/04	17	29	35	40	43	57
546	17/03/04	4	5	13	17	46	54
547	20/03/04	4	13	28	30	53	59
548	24/03/04	14	47	49	51	58	59
549	27/03/04	8	13	22	46	51	58
550	31/03/04	16	17	38	39	45	56
551	03/04/04	12	21	46	48	56	57
552	07/04/04	9	22	47	49	52	54
553	10/04/04	4	43	46	53	54	58
554	14/04/04	15	29	31	42	47	60
555	17/04/04	5	23	31	33	45	49
556	21/04/04	8	10	17	30	33	45
557	24/04/04	8	12	18	23	38	49
558	28/04/04	7	14	31	57	58	59
559	01/05/04	6	13	17	25	36	53
560	05/05/04	2	11	18	30	32	58
561	08/05/04	1	20	36	39	49	55
562	12/05/04	16	23	35	37	55	57
563	15/05/04	5	8	23	34	44	51
564	19/05/04	10	13	20	32	38	49
565	22/05/04	7	31	34	35	37	45
566	26/05/04	6	13	17	18	20	37
567	29/05/04	11	31	38	41	57	58
568	02/06/04	13	17	22	25	29	41
569	05/06/04	3	9	14	15	32	57
570	09/06/04	15	32	33	35	36	51
571	12/06/04	12	13	14	31	50	51
572	16/06/04	3	9	16	20	33	60
573	19/06/04	6	17	22	29	40	59
574	23/06/04	2	10	17	23	32	44
575	26/06/04	5	18	21	29	35	48
576	30/06/04	7	8	18	39	43	52
577	03/07/04	8	23	24	28	31	47
578	07/07/04	3	18	23	48	56	58
579	10/07/04	4	9	15	17	34	39
580	14/07/04	15	16	18	28	38	47
581	17/07/04	14	17	25	30	39	52
582	21/07/04	13	29	40	45	51	59
583	24/07/04	6	7	20	41	43	55
584	28/07/04	7	8	23	30	32	53
585	31/07/04	12	24	33	36	39	57
586	04/08/04	11	13	38	39	45	54
587	07/08/04	2	18	29	30	36	60
588	11/08/04	11	13	45	46	53	55
589	14/08/04	6	7	8	13	33	59
590	18/08/04	4	5	18	25	28	51
591	21/08/04	1	3	18	34	50	58
592	25/08/04	13	14	42	47	55	59
593	28/08/04	1	25	27	29	49	59
594	01/09/04	10	13	29	47	53	55
595	04/09/04	1	2	25	43	50	54
596	08/09/04	11	14	28	43	54	60
597	11/09/04	22	27	29	40	42	56
598	15/09/04	5	16	34	38	50	53
599	18/09/04	4	6	9	23	45	51
600	22/09/04	16	18	31	34	39	54
601	25/09/04	10	19	22	29	30	37
602	29/09/04	7	13	38	46	55	60
603	02/10/04	4	8	11	12	29	44
604	06/10/04	15	25	41	46	49	51
605	09/10/04	4	24	44	49	52	53
606	13/10/04	6	23	32	35	41	55
607	16/10/04	6	11	19	27	41	59
608	20/10/04	6	13	19	24	30	37
609	23/10/04	2	6	15	58	59	60
610	27/10/04	25	30	43	45	47	49
611	30/10/04	16	21	22	33	48	49
612	03/11/04	15	18	33	50	53	55
613	06/11/04	6	13	19	44	54	55
614	10/11/04	12	16	31	48	57	60
615	13/11/04	5	8	10	27	31	51
616	17/11/04	2	12	16	24	26	54
617	20/11/04	3	5	25	33	36	49
618	24/11/04	3	8	10	13	24	60
619	27/11/04	8	12	14	16	19	46
620	01/12/04	1	3	13	22	29	32
621	04/12/04	26	29	31	49	50	57
622	08/12/04	19	27	29	38	50	59
623	11/12/04	9	23	30	42	49	55
624	15/12/04	8	23	34	39	43	52
625	18/12/04	12	24	32	40	42	59
626	22/12/04	7	8	18	22	39	49
627	29/12/04	1	13	19	45	56	58
628	05/01/05	8	16	22	30	56	58
629	08/01/05	15	16	39	40	47	51
630	12/01/05	12	16	20	45	53	60
631	15/01/05	1	20	28	32	44	47
632	19/01/05	2	19	28	48	51	54
633	22/01/05	5	11	22	27	46	50
634	26/01/05	10	13	24	41	42	56
635	29/01/05	8	20	26	37	42	49
636	02/02/05	26	28	30	32	34	50
637	05/02/05	11	18	43	48	52	58
638	12/02/05	10	11	36	41	42	50
639	16/02/05	13	35	39	45	51	60
640	19/02/05	12	19	42	46	59	60
641	23/02/05	1	9	13	17	33	34
642	26/02/05	17	36	40	44	51	56
643	02/03/05	14	24	37	40	42	45
644	05/03/05	14	27	29	31	34	57
645	09/03/05	3	24	48	52	53	54
646	12/03/05	10	13	32	47	49	60
647	16/03/05	11	12	14	19	54	56
648	19/03/05	5	23	29	42	45	48
649	23/03/05	9	24	33	41	48	54
650	26/03/05	10	24	25	29	53	59
651	30/03/05	26	28	39	45	48	60
652	02/04/05	10	18	20	24	56	57
653	06/04/05	5	9	19	24	31	34
654	09/04/05	6	10	11	40	41	56
655	13/04/05	1	26	37	39	43	48
656	16/04/05	35	36	37	46	51	59
657	20/04/05	16	20	33	58	59	60
658	23/04/05	3	6	11	20	36	41
659	27/04/05	14	29	34	40	51	52
660	30/04/05	5	11	38	46	53	54
661	04/05/05	4	27	36	40	42	55
662	07/05/05	4	18	23	25	56	60
663	11/05/05	1	27	30	49	51	55
664	14/05/05	1	12	36	38	55	59
665	18/05/05	7	8	18	25	47	48
666	21/05/05	7	16	26	29	45	55
667	25/05/05	1	4	5	16	23	49
668	28/05/05	1	2	14	33	49	56
669	01/06/05	7	24	27	40	41	49
670	04/06/05	22	37	42	48	58	59
671	08/06/05	9	16	27	38	39	51
672	11/06/05	24	28	34	38	43	53
673	15/06/05	6	11	20	34	37	40
674	18/06/05	18	22	29	32	38	42
675	22/06/05	24	25	30	42	43	50
676	25/06/05	9	15	32	41	42	49
677	29/06/05	8	10	25	32	48	55
678	02/07/05	14	31	40	42	44	46
679	06/07/05	3	21	25	37	54	58
680	09/07/05	2	3	5	22	26	44
681	13/07/05	21	25	38	53	58	59
682	16/07/05	4	27	36	37	47	60
683	20/07/05	2	11	12	35	40	43
684	23/07/05	17	19	33	37	40	50
685	27/07/05	5	12	27	33	43	56
686	30/07/05	4	5	15	26	33	54
687	03/08/05	1	7	14	41	48	59
688	06/08/05	11	21	30	35	47	52
689	10/08/05	6	7	31	49	51	60
690	13/08/05	8	12	15	41	47	53
691	17/08/05	8	16	37	50	55	58
692	20/08/05	11	18	33	57	58	60
693	24/08/05	13	14	17	31	41	50
694	27/08/05	15	19	29	37	41	53
695	31/08/05	6	11	13	21	40	52
